"","ID","LongID","SiO2_n","TiO2_n","Al2O3_n","FeO_n","MnO_n","MgO_n","CaO_n","Na2O_n","K2O_n","Total_n","Type","Group","Eruption_ID","Volcano"
"328","SAM-706","SAM-706_PZ2_MB1-93_21W_27_MB1_Burney",8.74682799647964,0.494974746830583,3.61510719066531,1.2401612798342,0.154919333848297,0.581377674149945,1.31529464379659,2.16679486800205,1.25817327900413,100,"Acid","SAM","MB1","Burney"
"329","SAM-707","SAM-707_PZ2_MB1-93_21W_29_MB1_Burney",8.76493011951607,0.49598387070549,3.57253411460269,1.13490087672889,0.273861278752583,0.534789678284837,1.29730489862638,2.21088217686968,1.29189782877749,100,"Acid","SAM","MB1","Burney"
"330","SAM-709","SAM-709_PZ2_MB1-93_21W_31_MB1_Burney",8.72828734632402,0.547722557505166,3.61026314830374,1.2369316876853,0,0.609918027279076,1.31984847615171,2.23136729383578,1.27279220613579,100,"Acid","SAM","MB1","Burney"
"331","SAM-710","SAM-710_PZ2_MB1-93_21W_32_MB1_Burney",8.73361322706702,0.475394572960188,3.61040163970714,1.27945300812496,0,0.61400325732035,1.34387499418659,2.1686401268998,1.28413394939936,100,"Acid","SAM","MB1","Burney"
"332","SAM-712","SAM-712_PZ2_MB1-TOM_GOLD_4_MB1_Burney",8.71010906935154,0.504975246918104,3.68198316128686,1.16619037896906,0.114017542509914,0.578791845139511,1.47139389695622,2.18265892892133,1.19707978013163,100,"Acid","SAM","MB1","Burney"
"333","SAM-714","SAM-714_PZ2_MB1-TOM_GOLD_7_MB1_Burney",8.74316876195353,0.521536192416212,3.60666050523195,1.17175082675456,0.0632455532033676,0.58309518948453,1.35203550249245,2.1936271333114,1.27632284317096,100,"Acid","SAM","MB1","Burney"
"334","SAM-715","SAM-715_PZ2_MB1-TOM_GOLD_8_MB1_Burney",8.69465352961232,0.515751878329105,3.65390202386435,1.27788888405839,0.151657508881031,0.6,1.36894119669181,2.23047080231955,1.29034879005639,100,"Acid","SAM","MB1","Burney"
"335","SAM-716","SAM-716_PZ2_MB1-TOM_GOLD_10_MB1_Burney",8.7257664419809,0.482700735445887,3.62049720342386,1.18532695911297,0,0.571839138219832,1.36051460852135,2.24388056723169,1.27200628929263,100,"Acid","SAM","MB1","Burney"
"336","SAM-717","SAM-717_PZ2_MB1-TOM_GOLD_11_MB1_Burney",8.70189634505031,0.522494019104525,3.65991803186902,1.24899959967968,0.294957624075052,0.589915248150105,1.39821314541096,2.18357505023299,1.26530628703093,100,"Acid","SAM","MB1","Burney"
"337","SAM-718","SAM-718_PZ2_MB1-TOM_GOLD_12_MB1_Burney",8.74402653243916,0.475394572960188,3.65595404785126,1.1148990985735,0.0547722557505166,0.585662018573853,1.31681433771052,2.18471966164998,1.25259730160974,100,"Acid","SAM","MB1","Burney"
"338","SAM-719","SAM-719_PZ2_MB1-TOM_GOLD_14_MB1_Burney",8.74528444363018,0.539444158370447,3.59388369316538,1.20995867698033,0.289827534923789,0.577927331071996,1.33229125944742,2.15244047536744,1.33041346956501,100,"Acid","SAM","MB1","Burney"
"339","SAM-720","SAM-720_PZ2_MB1-TOM_GOLD_15_MB1_Burney",8.72805820328898,0.497995983919549,3.62035909821112,1.28840987267251,0.207364413533277,0.59916608715781,1.34350288425444,2.17025344142107,1.28179561553315,100,"Acid","SAM","MB1","Burney"
"340","SAM-721","SAM-721_PZ2_MB1-TOM_GOLD_16_MB1_Burney",8.70545805802314,0.527257053058563,3.63400605393001,1.26412024744484,0.357770876399966,0.620483682299543,1.3762267255071,2.20771374956084,1.26055543313255,100,"Acid","SAM","MB1","Burney"
"341","SAM-722","SAM-722_PZ2_MB1-TOM_GOLD_18_MB1_Burney",8.71688017584273,0.49598387070549,3.63455636907725,1.21078486941322,0.275680975041804,0.638748776906853,1.39247980236699,2.18357505023299,1.26925174807837,100,"Acid","SAM","MB1","Burney"
"342","SAM-723","SAM-723_PZ2_MB1-TOM_GOLD_19_MB1_Burney",8.73899307700836,0.507937003968012,3.62904946232481,1.22106510882917,0.0632455532033676,0.575325994545701,1.34275835502893,2.14476105895272,1.30307329034095,100,"Acid","SAM","MB1","Burney"
